,forecast
2020-03-29,702.4008532676926
2020-04-05,687.9205841091999
2020-04-12,689.6798681532899
2020-04-19,706.9199530307985
2020-04-26,693.8401116571515
2020-05-03,690.8909213014057
2020-05-10,702.2441427308032
2020-05-17,702.354201662888
2020-05-24,701.0220898713479
2020-05-31,701.038574693161
2020-06-07,696.1719981356184
2020-06-14,694.0673195392318
2020-06-21,696.05312468554
2020-06-28,694.9428927610386
2020-07-05,693.8285392423949
2020-07-12,694.1020332480055
2020-07-19,693.3997111129727
2020-07-26,692.9794847928102
2020-08-02,693.1539614599113
2020-08-09,692.3982695614843
