,Date,forecast
0,2020-03-29,768.4601046448935
1,2020-04-05,766.0469537542216
2,2020-04-12,765.4247738089219
3,2020-04-19,765.0726659306582
4,2020-04-26,764.7612839623158
5,2020-05-03,764.4560433167586
6,2020-05-10,764.1517287608978
7,2020-05-17,763.8475538560788
8,2020-05-24,763.5434000101417
9,2020-05-31,763.2392493398092
10,2020-06-07,762.9350991483468
11,2020-06-14,762.6309490290962
12,2020-06-21,762.326798920735
13,2020-06-28,762.0226488140157
14,2020-07-05,761.7184987075441
15,2020-07-12,761.4143486011099
16,2020-07-19,761.1101984946812
17,2020-07-26,760.8060483882534
18,2020-08-02,760.5018982818258
19,2020-08-09,760.1977481753981
